Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805",-120.253218,-88.106316,0.000000,bottom
"C2","0.1u","C_0805",-120.253218,-85.725064,180.000000,bottom
"C3","0.1u","C_0805",-100.607889,-73.818804,0.000000,bottom
"C4","0.1u","C_0805",-119.657905,-77.985995,180.000000,bottom
"C5","0.1u","C_0805",-97.036011,-89.296942,180.000000,bottom
"C6","4.7u","C_0805",-97.036011,-86.915690,180.000000,bottom
"D1","D","hybrid_DIODE_sans",-17.264069,-9.525000,90.000000,bottom
"D2","D","hybrid_DIODE_sans",-36.314085,-9.524936,90.000000,bottom
"D3","D","hybrid_DIODE_sans",-55.364101,-9.524936,90.000000,bottom
"D4","D","hybrid_DIODE_sans",-74.414117,-9.525000,90.000000,bottom
"D5","D","hybrid_DIODE_sans",-93.464133,-9.525000,90.000000,bottom
"D6","D","hybrid_DIODE_sans",-112.514149,-9.524936,90.000000,bottom
"D7","D","hybrid_DIODE_sans",-131.564165,-9.524936,90.000000,bottom
"D8","D","hybrid_DIODE_sans",-150.614181,-9.524936,90.000000,bottom
"D9","D","hybrid_DIODE_sans",-169.664197,-9.524936,90.000000,bottom
"D10","D","hybrid_DIODE_sans",-188.714213,-9.525000,90.000000,bottom
"D11","D","hybrid_DIODE_sans",-207.764229,-9.525000,90.000000,bottom
"D12","D","hybrid_DIODE_sans",-226.814245,-9.525000,90.000000,bottom
"D13","D","hybrid_DIODE_sans",-245.864261,-9.524936,90.000000,bottom
"D14","D","hybrid_DIODE_sans",-283.964301,-9.525000,90.000000,bottom
"D15","D","hybrid_DIODE_sans",-303.014309,-9.524936,90.000000,bottom
"D16","D","hybrid_DIODE_sans",-306.586187,-9.525000,90.000000,bottom
"D17","D","hybrid_DIODE_sans",-22.026573,-28.574952,90.000000,bottom
"D18","D","hybrid_DIODE_sans",-45.839093,-28.575016,90.000000,bottom
"D19","D","hybrid_DIODE_sans",-64.889109,-28.574952,90.000000,bottom
"D20","D","hybrid_DIODE_sans",-83.939125,-28.575016,90.000000,bottom
"D21","D","hybrid_DIODE_sans",-102.989141,-28.575016,90.000000,bottom
"D22","D","hybrid_DIODE_sans",-122.039157,-28.575016,90.000000,bottom
"D23","D","hybrid_DIODE_sans",-141.089173,-28.574952,90.000000,bottom
"D24","D","hybrid_DIODE_sans",-160.139189,-28.575016,90.000000,bottom
"D25","D","hybrid_DIODE_sans",-179.189205,-28.575016,90.000000,bottom
"D26","D","hybrid_DIODE_sans",-198.239221,-28.574952,90.000000,bottom
"D27","D","hybrid_DIODE_sans",-217.289237,-28.574952,90.000000,bottom
"D28","D","hybrid_DIODE_sans",-236.339253,-28.575016,90.000000,bottom
"D29","D","hybrid_DIODE_sans",-255.389269,-28.574952,90.000000,bottom
"D30","D","hybrid_DIODE_sans",-249.436147,-9.525008,90.000000,bottom
"D31","D","hybrid_DIODE_sans",-303.014309,-28.575016,90.000000,bottom
"D32","D","hybrid_DIODE_sans",-306.586187,-28.575016,90.000000,bottom
"D33","D","hybrid_DIODE_sans",-24.407825,-47.624968,90.000000,bottom
"D34","D","hybrid_DIODE_sans",-50.601597,-47.625032,90.000000,bottom
"D35","D","hybrid_DIODE_sans",-69.651613,-47.624968,90.000000,bottom
"D36","D","hybrid_DIODE_sans",-88.701629,-47.625032,90.000000,bottom
"D37","D","hybrid_DIODE_sans",-107.751645,-47.624968,90.000000,bottom
"D38","D","hybrid_DIODE_sans",-126.801661,-47.624968,90.000000,bottom
"D39","D","hybrid_DIODE_sans",-145.851677,-47.625032,90.000000,bottom
"D40","D","hybrid_DIODE_sans",-164.901693,-47.624968,90.000000,bottom
"D41","D","hybrid_DIODE_sans",-183.951709,-47.624968,90.000000,bottom
"D42","D","hybrid_DIODE_sans",-203.001725,-47.625032,90.000000,bottom
"D43","D","hybrid_DIODE_sans",-222.051741,-47.624968,90.000000,bottom
"D44","D","hybrid_DIODE_sans",-241.101757,-47.624968,90.000000,bottom
"D45","D","hybrid_DIODE_sans",-244.673635,-47.624968,90.000000,bottom
"D46","D","hybrid_DIODE_sans",-272.058033,-47.625032,90.000000,bottom
"D47","D","hybrid_DIODE_sans",-303.014309,-47.625032,90.000000,bottom
"D48","D","hybrid_DIODE_sans",-306.586187,-47.625032,90.000000,bottom
"D49","D","hybrid_DIODE_sans",-41.076589,-66.675048,90.000000,bottom
"D50","D","hybrid_DIODE_sans",-44.648467,-66.675048,90.000000,bottom
"D51","D","hybrid_DIODE_sans",-60.126605,-66.675048,90.000000,bottom
"D52","D","hybrid_DIODE_sans",-79.176621,-66.675048,90.000000,bottom
"D53","D","hybrid_DIODE_sans",-98.226637,-66.675048,90.000000,bottom
"D54","D","hybrid_DIODE_sans",-117.276653,-66.675048,90.000000,bottom
"D55","D","hybrid_DIODE_sans",-136.326669,-66.675048,90.000000,bottom
"D56","D","hybrid_DIODE_sans",-155.376685,-66.675048,90.000000,bottom
"D57","D","hybrid_DIODE_sans",-174.426701,-66.675048,90.000000,bottom
"D58","D","hybrid_DIODE_sans",-193.476717,-66.675048,90.000000,bottom
"D59","D","hybrid_DIODE_sans",-212.526733,-66.675048,90.000000,bottom
"D60","D","hybrid_DIODE_sans",-231.576749,-66.675048,90.000000,bottom
"D61","D","hybrid_DIODE_sans",-242.292391,-66.675056,90.000000,bottom
"D62","D","hybrid_DIODE_sans",-283.964293,-66.675048,90.000000,bottom
"D63","D","hybrid_DIODE_sans",-303.014309,-66.675048,90.000000,bottom
"D64","D","hybrid_DIODE_sans",-306.586187,-66.675048,90.000000,bottom
"D65","D","hybrid_DIODE_sans",-49.410971,-85.725064,90.000000,bottom
"D66","D","hybrid_DIODE_sans",-45.839093,-85.725064,90.000000,bottom
"D67","D","hybrid_DIODE_sans",-69.651613,-85.725064,90.000000,bottom
"D72","D","hybrid_DIODE_sans",-150.614181,-85.725064,90.000000,bottom
"D75","D","hybrid_DIODE_sans",-212.526733,-85.725064,90.000000,bottom
"D76","D","hybrid_DIODE_sans",-241.101765,-85.725064,90.000000,bottom
"D77","D","hybrid_DIODE_sans",-264.914285,-85.725072,90.000000,bottom
"D78","D","hybrid_DIODE_sans",-283.964293,-85.725064,90.000000,bottom
"D79","D","hybrid_DIODE_sans",-303.014309,-85.725064,90.000000,bottom
"D80","D","hybrid_DIODE_sans",-306.586187,-85.725064,90.000000,bottom
"F1","Polyfuse","R_0805",-29.170329,-50.601597,90.000000,bottom
"J2","ISP","isp_standard",-130.373539,-82.153186,180.000000,bottom
"J3","UDB","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-61.912552,-37.504719,90.000000,bottom
"R1","22","R_0805",-33.932833,-50.601597,90.000000,bottom
"R2","22","R_0805",-31.551581,-50.601597,90.000000,bottom
"R5","10k","R_0805",-97.036011,-84.534438,180.000000,bottom
"R6","10k","R_0805",-119.657905,-75.604743,180.000000,bottom
"R101","1k","R_0805",-164.306380,-78.581308,0.000000,bottom
"R102","1k","R_0805",-160.139189,-77.390682,0.000000,bottom
"R103","1k","R_0805",-164.306380,-76.200056,0.000000,bottom
"R104","1k","R_0805",-160.139189,-75.009430,0.000000,bottom
"U1","ATmega32U4","ATMEGA32U4",-108.942271,-81.557873,90.000000,bottom
"U2","USBLC6-2SC6","USBLC6-2SC6",-32.146894,-45.839093,0.000000,bottom
"X1","XTAL_GND","Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2",-97.036011,-80.962560,-90.000000,bottom
